Percentage of Emergency Department visits with Diagnosed COVID-19 in United States
Date generated: Thu Oct 31 2024 15:30:31 GMT-0500 (Central Daylight Time)
Date,Age Range,Daily Percent of ED Visits with diagnosed COVID-19,7-day Average of ED Visits with diagnosed COVID-19
2024-09-28,40 to 49,0.64,0.78
2024-09-28,50 to 64,0.89,1.03
2024-09-28,65 to 74,1.5,1.56
2024-09-28,75+,2.35,2.32
2024-09-28,All Ages,1,1.11
2024-09-29,00 to 11,0.88,0.99
2024-09-29,12 to 15,0.42,0.48
2024-09-29,16 to 17,0.44,0.62
2024-09-29,18 to 24,0.66,0.71
2024-09-29,25 to 39,0.53,0.67
2024-09-29,40 to 49,0.55,0.73
2024-09-29,50 to 64,0.98,0.99
2024-09-29,65 to 74,1.55,1.51
2024-09-29,75+,2.3,2.27
2024-09-29,All Ages,0.99,1.07
2024-09-30,00 to 11,0.82,0.94
2024-09-30,12 to 15,0.33,0.43
2024-09-30,16 to 17,0.6,0.57
2024-09-30,18 to 24,0.48,0.66
2024-09-30,25 to 39,0.54,0.63
2024-09-30,40 to 49,0.64,0.7
2024-09-30,50 to 64,0.88,0.96
2024-09-30,65 to 74,1.35,1.49
2024-09-30,75+,1.86,2.19
2024-09-30,All Ages,0.9,1.03
2024-10-01,00 to 11,0.8,0.91
2024-10-01,12 to 15,0.45,0.42
2024-10-01,16 to 17,0.53,0.52
2024-10-01,18 to 24,0.58,0.63
2024-10-01,25 to 39,0.59,0.6
2024-10-01,40 to 49,0.67,0.68
2024-10-01,50 to 64,0.79,0.92
2024-10-01,65 to 74,1.18,1.44
2024-10-01,75+,1.73,2.13
2024-10-01,All Ages,0.86,0.99
2024-10-02,00 to 11,0.74,0.88
2024-10-02,12 to 15,0.33,0.39
2024-10-02,16 to 17,0.49,0.5
2024-10-02,18 to 24,0.6,0.61
2024-10-02,25 to 39,0.63,0.59
2024-10-02,40 to 49,0.6,0.65
2024-10-02,50 to 64,0.78,0.89
2024-10-02,65 to 74,1.22,1.39
2024-10-02,75+,1.72,2.04
2024-10-02,All Ages,0.86,0.95
2024-10-03,00 to 11,0.68,0.83
2024-10-03,12 to 15,0.35,0.37
2024-10-03,16 to 17,0.38,0.47
2024-10-03,18 to 24,0.53,0.59
2024-10-03,25 to 39,0.48,0.56
2024-10-03,40 to 49,0.58,0.63
2024-10-03,50 to 64,0.69,0.85
2024-10-03,65 to 74,1.09,1.33
2024-10-03,75+,1.75,1.97
2024-10-03,All Ages,0.79,0.92
2024-10-04,00 to 11,0.69,0.79
2024-10-04,12 to 15,0.39,0.37
2024-10-04,16 to 17,0.23,0.45
2024-10-04,18 to 24,0.48,0.56
2024-10-04,25 to 39,0.45,0.54
2024-10-04,40 to 49,0.54,0.6
2024-10-04,50 to 64,0.65,0.81
2024-10-04,65 to 74,1.14,1.28
2024-10-04,75+,1.66,1.9
2024-10-04,All Ages,0.76,0.88
2024-10-05,00 to 11,0.69,0.76
2024-10-05,12 to 15,0.24,0.36
2024-10-05,16 to 17,0.26,0.43
2024-10-05,18 to 24,0.4,0.54
2024-10-05,25 to 39,0.44,0.53
2024-10-05,40 to 49,0.6,0.6
2024-10-05,50 to 64,0.73,0.79
2024-10-05,65 to 74,1.13,1.23
2024-10-05,75+,1.67,1.81
2024-10-05,All Ages,0.76,0.85
2024-10-06,00 to 11,0.68,0.73
2024-10-06,12 to 15,0.33,0.35
2024-10-06,16 to 17,0.36,0.42
2024-10-06,18 to 24,0.48,0.51
2024-10-06,25 to 39,0.49,0.52
2024-10-06,40 to 49,0.53,0.59
2024-10-06,50 to 64,0.71,0.75
2024-10-06,65 to 74,1.26,1.2
2024-10-06,75+,1.82,1.75
2024-10-06,All Ages,0.79,0.82
2024-10-07,00 to 11,0.62,0.7
2024-10-07,12 to 15,0.36,0.36
2024-10-07,16 to 17,0.33,0.37
2024-10-07,18 to 24,0.44,0.5
2024-10-07,25 to 39,0.46,0.51
2024-10-07,40 to 49,0.5,0.57
2024-10-07,50 to 64,0.65,0.71
2024-10-07,65 to 74,1.06,1.15
2024-10-07,75+,1.58,1.7
2024-10-07,All Ages,0.72,0.79
2024-10-08,00 to 11,0.61,0.67
2024-10-08,12 to 15,0.29,0.33
2024-10-08,16 to 17,0.42,0.36
2024-10-08,18 to 24,0.41,0.48
2024-10-08,25 to 39,0.47,0.49
2024-10-08,40 to 49,0.51,0.55
2024-10-08,50 to 64,0.59,0.69
2024-10-08,65 to 74,1,1.12
2024-10-08,75+,1.43,1.66
2024-10-08,All Ages,0.68,0.77
2024-10-09,00 to 11,0.6,0.65
2024-10-09,12 to 15,0.29,0.32
2024-10-09,16 to 17,0.27,0.32
2024-10-09,18 to 24,0.47,0.46
2024-10-09,25 to 39,0.43,0.46
2024-10-09,40 to 49,0.51,0.54
2024-10-09,50 to 64,0.63,0.66
2024-10-09,65 to 74,0.95,1.09
2024-10-09,75+,1.57,1.64
2024-10-09,All Ages,0.7,0.74
2024-10-10,00 to 11,0.54,0.63
2024-10-10,12 to 15,0.21,0.3
2024-10-10,16 to 17,0.32,0.31
2024-10-10,18 to 24,0.41,0.44
2024-10-10,25 to 39,0.41,0.45
2024-10-10,40 to 49,0.5,0.52
2024-10-10,50 to 64,0.61,0.65
2024-10-10,65 to 74,0.97,1.07
2024-10-10,75+,1.33,1.57
2024-10-10,All Ages,0.65,0.72
2024-10-11,00 to 11,0.57,0.62
2024-10-11,12 to 15,0.26,0.28
2024-10-11,16 to 17,0.19,0.31
2024-10-11,18 to 24,0.49,0.44
2024-10-11,25 to 39,0.39,0.44
2024-10-11,40 to 49,0.47,0.52
2024-10-11,50 to 64,0.6,0.64
2024-10-11,65 to 74,0.87,1.03
2024-10-11,75+,1.4,1.53
2024-10-11,All Ages,0.66,0.71
2024-10-12,00 to 11,0.63,0.61
2024-10-12,12 to 15,0.21,0.28
2024-10-12,16 to 17,0.31,0.31
2024-10-12,18 to 24,0.37,0.44
2024-10-12,25 to 39,0.35,0.43
2024-10-12,40 to 49,0.49,0.5
2024-10-12,50 to 64,0.55,0.62
2024-10-12,65 to 74,1.02,1.01
2024-10-12,75+,1.49,1.51
2024-10-12,All Ages,0.66,0.69
2024-10-13,00 to 11,0.64,0.6
2024-10-13,12 to 15,0.28,0.27
2024-10-13,16 to 17,0.34,0.31
2024-10-13,18 to 24,0.43,0.43
2024-10-13,25 to 39,0.38,0.41
2024-10-13,40 to 49,0.43,0.49
2024-10-13,50 to 64,0.63,0.61
2024-10-13,65 to 74,0.94,0.97
2024-10-13,75+,1.5,1.47
2024-10-13,All Ages,0.66,0.68
2024-10-14,00 to 11,0.54,0.59
2024-10-14,12 to 15,0.28,0.26
2024-10-14,16 to 17,0.17,0.29
2024-10-14,18 to 24,0.39,0.42
2024-10-14,25 to 39,0.4,0.4
2024-10-14,40 to 49,0.41,0.47
2024-10-14,50 to 64,0.56,0.6
2024-10-14,65 to 74,0.85,0.94
2024-10-14,75+,1.37,1.44
2024-10-14,All Ages,0.62,0.66
2024-10-15,00 to 11,0.5,0.57
2024-10-15,12 to 15,0.18,0.24
2024-10-15,16 to 17,0.29,0.27
2024-10-15,18 to 24,0.36,0.42
2024-10-15,25 to 39,0.39,0.39
2024-10-15,40 to 49,0.45,0.46
2024-10-15,50 to 64,0.52,0.58
2024-10-15,65 to 74,0.81,0.91
2024-10-15,75+,1.17,1.4
2024-10-15,All Ages,0.57,0.64
2024-10-16,00 to 11,0.59,0.57
2024-10-16,12 to 15,0.24,0.24
2024-10-16,16 to 17,0.33,0.28
2024-10-16,18 to 24,0.4,0.41
2024-10-16,25 to 39,0.39,0.39
2024-10-16,40 to 49,0.43,0.45
2024-10-16,50 to 64,0.47,0.56
2024-10-16,65 to 74,0.79,0.89
2024-10-16,75+,1.3,1.36
2024-10-16,All Ages,0.59,0.63
2024-10-17,00 to 11,0.58,0.58
2024-10-17,12 to 15,0.21,0.24
2024-10-17,16 to 17,0.3,0.27
2024-10-17,18 to 24,0.41,0.41
2024-10-17,25 to 39,0.44,0.39
2024-10-17,40 to 49,0.37,0.43
2024-10-17,50 to 64,0.52,0.55
2024-10-17,65 to 74,0.79,0.86
2024-10-17,75+,1.22,1.35
2024-10-17,All Ages,0.59,0.62
2024-10-18,00 to 11,0.55,0.58
2024-10-18,12 to 15,0.17,0.22
2024-10-18,16 to 17,0.34,0.29
2024-10-18,18 to 24,0.34,0.38
2024-10-18,25 to 39,0.36,0.39
2024-10-18,40 to 49,0.35,0.42
2024-10-18,50 to 64,0.52,0.54
2024-10-18,65 to 74,0.77,0.85
2024-10-18,75+,1.22,1.32
2024-10-18,All Ages,0.57,0.61
2024-10-19,00 to 11,0.53,0.56
2024-10-19,12 to 15,0.23,0.23
2024-10-19,16 to 17,0.17,0.28
2024-10-19,18 to 24,0.29,0.37
2024-10-19,25 to 39,0.36,0.39
2024-10-19,40 to 49,0.4,0.41
2024-10-19,50 to 64,0.53,0.54
2024-10-19,65 to 74,0.84,0.82
2024-10-19,75+,1.41,1.31
2024-10-19,All Ages,0.59,0.6
2024-10-20,00 to 11,0.58,0.55
2024-10-20,12 to 15,0.3,0.23
2024-10-20,16 to 17,0.25,0.27
2024-10-20,18 to 24,0.29,0.35
2024-10-20,25 to 39,0.38,0.39
2024-10-20,40 to 49,0.38,0.4
2024-10-20,50 to 64,0.55,0.52
2024-10-20,65 to 74,0.92,0.82
2024-10-20,75+,1.35,1.29
2024-10-20,All Ages,0.6,0.59
2024-10-21,00 to 11,0.49,0.54
2024-10-21,12 to 15,0.2,0.22
2024-10-21,16 to 17,0.25,0.28
2024-10-21,18 to 24,0.32,0.34
2024-10-21,25 to 39,0.33,0.38
2024-10-21,40 to 49,0.41,0.4
2024-10-21,50 to 64,0.48,0.51
2024-10-21,65 to 74,0.79,0.81
2024-10-21,75+,1.12,1.25
2024-10-21,All Ages,0.53,0.58
2024-10-22,00 to 11,0.48,0.54
2024-10-22,12 to 15,0.23,0.22
2024-10-22,16 to 17,0.24,0.27
2024-10-22,18 to 24,0.44,0.36
2024-10-22,25 to 39,0.39,0.38
2024-10-22,40 to 49,0.41,0.39
2024-10-22,50 to 64,0.47,0.5
2024-10-22,65 to 74,0.76,0.8
2024-10-22,75+,1.16,1.25
2024-10-22,All Ages,0.55,0.57
2024-10-23,00 to 11,0.54,0.53
2024-10-23,12 to 15,0.31,0.23
2024-10-23,16 to 17,0.26,0.26
2024-10-23,18 to 24,0.36,0.35
2024-10-23,25 to 39,0.37,0.38
2024-10-23,40 to 49,0.4,0.39
2024-10-23,50 to 64,0.5,0.51
2024-10-23,65 to 74,0.78,0.8
2024-10-23,75+,1.13,1.22
2024-10-23,All Ages,0.55,0.57
2024-10-24,00 to 11,0.53,0.53
2024-10-24,12 to 15,0.19,0.23
2024-10-24,16 to 17,0.28,0.26
2024-10-24,18 to 24,0.32,0.34
2024-10-24,25 to 39,0.36,0.36
2024-10-24,40 to 49,0.33,0.38
2024-10-24,50 to 64,0.46,0.5
2024-10-24,65 to 74,0.7,0.79
2024-10-24,75+,1.01,1.19
2024-10-24,All Ages,0.51,0.56
2024-10-25,00 to 11,0.51,0.52
2024-10-25,12 to 15,0.24,0.24
2024-10-25,16 to 17,0.27,0.25
2024-10-25,18 to 24,0.26,0.33
2024-10-25,25 to 39,0.32,0.36
2024-10-25,40 to 49,0.36,0.38
2024-10-25,50 to 64,0.45,0.49
2024-10-25,65 to 74,0.67,0.77
2024-10-25,75+,1.02,1.16
2024-10-25,All Ages,0.5,0.55
